Break In Period,Car Age Inception,Claim Freq,Claim loss_reported_period,Claim occ_cycle,Manufacturer,RTO City,Policy Type,Marital Status,OCCUPATION,CITY,Facility Name,Ageny Num,Surveyor,Type Of Payment,Geography,IDV Value,Claim Element,Claim Created Date,Claim Status
7,1,9,61,51,Clark and Sons,South Bobby, NCB Transfer,NOT KNOWN,"Designer, jewellery",Lake Jonathanside,"Baker, Ballard and Fleming",64930907,Patricia Johnson,CASHLESS,Jessicafurt,957638,PARTIAL LOSS,12/10/2018 5:40,Accepted
7,6,7,97,18,"Cox, Holmes and Miller",Williamborough, NCB Transfer,NOT KNOWN,Trade mark attorney,New Christopherton,"Sullivan, Williams and Fisher",66953871,Mr. Aaron Hernandez II,CASHLESS,South Walterberg,273760, OWNER DRIVER:DEATH,12/24/2018 10:28, Rejected
5,2,7,39,20,Strickland Group,Stephaniemouth, NCB Transfer,NOT KNOWN,Animal technologist,Andresside,Stone Ltd,66209195,Aaron Watson,CASHLESS,Torreshaven,641680,PARTIAL LOSS,2/17/2019 16:08,Accepted
6,7,3,15,30,Smith-Alvarado,Mccallchester, New vehicle without NCB,NOT KNOWN,"Programmer, multimedia",Martinezshire,Abbott-Alvarez,55024631,Carla Murphy,REIMBURSEMENT,Ianshire,192000, OWNER DRIVER:BODY INJURY,12/13/2018 19:56, Rejected
9,7,9,54,8,"Case, Gamble and Weeks",West Douglas, Our own renewals,NOT KNOWN,"Production assistant, radio",Guerraberg,Phillips-Jackson,95311579,James Anderson,,Lake Linda,192000, OWNER DRIVER:DEATH,3/22/2019 9:56,Accepted
5,9,5,11,63,Camacho and Sons,Harmonburgh, Our own renewals,NOT KNOWN,Copy,Port Jeffrey,Wallace-Thomas,97426856,Tami Galloway,,South Douglasbury,640313, NET OF SALVAGE,11/18/2018 23:07, Rejected
0,1,4,48,36,Brown PLC,Lauraville, Our own renewals,NOT KNOWN,Dramatherapist,Geraldview,"Jones, Washington and Robinson",35741559,Alicia Graves,CASHLESS,East Jay,1472000,PARTIAL LOSS,1/29/2019 22:54, Rejected
9,3,1,81,93,Lynch-Simmons,East Richard, NCB Transfer,NOT KNOWN,Homeopath,Coxfurt,Miller-Lynch,51449298,Rachel Wade,CASHLESS,East Danielside,260817, OWNER DRIVER:DEATH,2/18/2019 8:13,Accepted
0,5,5,15,21,Anderson and Sons,East Karen,MTHF Renewal,NOT KNOWN,Production manager,Paulmouth,Kelly Inc,93429859,Amy Hoffman,,Johnfort,284715, OWNER DRIVER:BODY INJURY,3/26/2019 20:38,Accepted
9,3,3,30,74,Patterson PLC,South Rachelstad, New vehicle without NCB,NOT KNOWN,"Copywriter, advertising",Thomasland,Cunningham LLC,62407380,Mary Silva,CASHLESS,Port Ryanhaven,452700,PARTIAL LOSS,11/1/2018 11:34,Accepted
4,6,9,66,45,Johnson and Sons,West Bradleyview, NCB Transfer,NOT KNOWN,"Administrator, arts",South Stephanieshire,"Dawson, Mcdonald and Mayo",72115915,Stephanie Parker,CASHLESS,East Nicole,200000, OWNER DRIVER:BODY INJURY,11/28/2018 13:19,Accepted
5,7,8,76,82,"Avila, Taylor and Jones",Port Kimberlyfort,MTHF Renewal,NOT KNOWN,"Presenter, broadcasting",South Sandrashire,Thomas-Osborne,48093488,Mrs. Stephanie Nelson,CASHLESS,Chavezview,385400, OWNER DRIVER:DEATH,2/18/2019 3:38,Accepted
6,1,1,66,76,"Baxter, Massey and Carson",Breannaborough, Our own renewals,NOT KNOWN,Database administrator,Hillmouth,Stewart-Lee,55164676,Jesse Dennis,CASHLESS,Andrewshire,624200, OWNER DRIVER:BODY INJURY,11/2/2018 4:20, Rejected
8,3,4,5,35,Nolan-Long,Brownshire, Our own renewals,NOT KNOWN,"Teacher, secondary school",Johnland,Taylor-Baldwin,71061521,Rachel Hill,CASHLESS,Christophermouth,567993, OWNER DRIVER:BODY INJURY,10/21/2018 13:24, Rejected
9,1,8,98,53,Walton-Murphy,South David, New vehicle without NCB,NOT KNOWN,"Administrator, charities/voluntary organisations",East Deborah,Dawson-Williams,93219456,Nicole Bernard,CASHLESS,South Johnathan,568775, OWNER DRIVER:BODY INJURY,12/13/2018 17:25,Accepted
5,5,4,45,39,"Obrien, Jones and Burton",New Adamchester, NCB Transfer,NOT KNOWN,Land,West Erika,Velez Inc,67205849,Amy Hancock,CASHLESS,West Vanessa,183700,PARTIAL LOSS,10/21/2018 17:24, Rejected
5,5,5,25,96,Petersen Ltd,Glovermouth, NCB Transfer,NOT KNOWN,Pension scheme manager,Aprilburgh,Hall PLC,48656480,Robert Wood,,Port Brenda,183700, NET OF SALVAGE,1/30/2019 12:44, Rejected
4,6,5,21,94,Cunningham PLC,Blaketon, Our own renewals,NOT KNOWN,"Conservator, museum/gallery",South Allisonburgh,Bowman-Henry,10363409,Jessica Wells,,Brittanyhaven,550000, OWNER DRIVER:DEATH,2/23/2019 20:10, Rejected
9,1,4,7,81,Hicks Ltd,Christopherport, New vehicle without NCB,NOT KNOWN,Charity fundraiser,Lake Janice,"Williams, Lamb and Miller",63156546,Barbara Warren,,East Kenneth,560025,PARTIAL LOSS,10/2/2018 5:30,Accepted
2,5,9,29,44,Lewis and Sons,Port Michael, NCB Transfer,NOT KNOWN,Theatre stage manager,Nealborough,"Rasmussen, Chapman and Larson",93201102,David Bryant,REIMBURSEMENT,West Kim,190000, NET OF SALVAGE,1/29/2019 13:46,Accepted
0,5,2,55,68,"Stokes, Green and Welch",East Jesse, NCB Transfer,NOT KNOWN,Fisheries officer,Jessicahaven,Krueger-Hernandez,22138873,Sierra Cunningham,,Port Olivia,190000, OWNER DRIVER:DEATH,3/10/2019 21:03, Rejected
0,6,3,49,15,Burns and Sons,Wardchester,MTHF Renewal,NOT KNOWN,"Administrator, arts",East Brandon,Price-Fox,55370633,Mark Smith,REIMBURSEMENT,Port Olivialand,350000,PARTIAL LOSS,12/25/2018 20:48,Accepted
0,4,7,63,6,Evans-James,Patriciabury, Our own renewals,NOT KNOWN,"Scientist, clinical (histocompatibility and immunogenetics)",South Nathanstad,Harris-Costa,32539517,Gregory Robbins,CASHLESS,Port Mike,214562, OWNER DRIVER:DEATH,3/25/2019 9:54,Accepted
9,1,3,36,58,Davis PLC,South Ricardo,MTHF Renewal,NOT KNOWN,"Psychologist, prison and probation services",Whiteburgh,Wright Group,90137875,Mark Gould,CASHLESS,East Charles,358825, OWNER DRIVER:BODY INJURY,1/9/2019 23:06,Accepted
6,9,9,12,47,Diaz Group,West Amy,MTHF Renewal,NOT KNOWN,Psychiatric nurse,Schaeferview,Rose Inc,9958742,Paige Hammond,REIMBURSEMENT,East Jeffreyland,170000, OWNER DRIVER:DEATH,11/8/2018 22:03,Accepted
1,9,1,85,62,"Turner, Smith and Payne",Thompsonstad, Our own renewals,NOT KNOWN,Technical sales engineer,North Diane,Harris-Norris,59571932,Jill Perez,,Michaelchester,170000,PARTIAL LOSS,12/25/2018 5:46, Rejected
5,3,3,76,44,"Graham, Reynolds and Perkins",Graymouth, Our own renewals,NOT KNOWN,Sales promotion account executive,Christianhaven,Phillips-Harrington,85376290,Cody Davis,REIMBURSEMENT,North Cynthia,400000, OWNER DRIVER:DEATH,11/12/2018 3:28, Rejected
7,6,4,57,60,Smith Ltd,Laurentown,MTHF Renewal,NOT KNOWN,"Secretary, company",Port Kelsey,Nichols-Noble,22415663,Thomas Nelson,CASHLESS,Devinmouth,279826, NET OF SALVAGE,11/30/2018 16:21, Rejected
5,1,7,76,67,Smith Ltd,Miguelmouth, New vehicle without NCB,NOT KNOWN,Financial trader,West Tiffany,Lawrence Group,2300397,Brian White,CASHLESS,Knappland,385802,PARTIAL LOSS,12/22/2018 2:27, Rejected
7,1,8,15,50,Carter and Sons,North Judyborough,MTHF Renewal,NOT KNOWN,"Administrator, arts",West Denise,Martinez and Sons,67274466,Kenneth Davis,CASHLESS,Taraside,449861,PARTIAL LOSS,1/25/2019 10:08, Rejected
4,5,8,17,53,"Flores, Kelly and Lozano",Sandersburgh, NCB Transfer,NOT KNOWN,Architect,Harrisstad,Camacho Ltd,46579562,Mikayla Sanchez,REIMBURSEMENT,North Pamela,630000, OWNER DRIVER:BODY INJURY,3/7/2019 8:18,Accepted
4,1,6,76,67,Orr Inc,South Anthony, NCB Transfer,NOT KNOWN,Tax inspector,Port Jamesburgh,"Garrett, Wallace and King",99252507,Diana Barnes,CASHLESS,Lake Jonathan,598481, NET OF SALVAGE,1/26/2019 16:25, Rejected
5,8,4,34,24,"Hawkins, Reed and Bradford",Lake Jennifer,MTHF Renewal,NOT KNOWN,Waste management officer,Tracyfurt,Gonzalez Inc,7655975,Molly Carrillo,CASHLESS,Lake John,549414, OWNER DRIVER:DEATH,2/10/2019 14:51, Rejected
4,1,0,98,14,Craig-Bailey,South Monica, New vehicle without NCB,NOT KNOWN,Recruitment consultant,East Richardshire,Mitchell-Edwards,39971903,Sara Henry,CASHLESS,Ellischester,1345676, NET OF SALVAGE,1/11/2019 4:12, Rejected
5,3,2,51,56,Saunders Inc,East Ronnieside, NCB Transfer,NOT KNOWN,Intelligence analyst,Maddenberg,Weber Group,54648245,Lori Murphy,REIMBURSEMENT,Lake Curtisfort,577200, OWNER DRIVER:BODY INJURY,12/11/2018 23:07, Rejected
2,3,9,49,72,"Sanders, Garcia and Cruz",Port Robertview, NCB Transfer,NOT KNOWN,Surgeon,West Paulland,Wood LLC,21734849,Eileen Welch,,Sandersburgh,577200, OWNER DRIVER:BODY INJURY,11/17/2018 23:26, Rejected
0,3,0,32,27,Thompson-Williams,Lopezfort, New vehicle without NCB,NOT KNOWN,Seismic interpreter,Lake Christopher,Pollard and Sons,79325489,Jennifer Thomas,CASHLESS,Mcdonaldmouth,1075562, NET OF SALVAGE,3/13/2019 10:35,Accepted
4,7,2,71,90,Watson-Reese,South Meredithland, Our own renewals,NOT KNOWN,Solicitor,Davismouth,"Moses, Barrera and Logan",9296731,William Rodriguez,,New Kaitlin,425520,PARTIAL LOSS,3/27/2019 0:49,Accepted
7,7,4,93,97,Smith-Townsend,Stephanieview,MTHF Renewal,NOT KNOWN,Medical secretary,Julieside,Rush PLC,9490311,Steven Bartlett,CASHLESS,Jenniferborough,425520, OWNER DRIVER:BODY INJURY,2/7/2019 22:04,Accepted
2,7,2,33,96,Bass-Compton,Port Brian, NCB Transfer,NOT KNOWN,"Editor, magazine features",East Samantha,Parsons Ltd,14974367,Jose Smith,,Jamesland,425520, NET OF SALVAGE,1/22/2019 15:49, Rejected
3,1,4,85,68,Santana Inc,West Sharonchester,MTHF Renewal,NOT KNOWN,"Engineer, aeronautical",New Traci,Smith-Richards,45885303,Margaret Campos,CASHLESS,New Ashleyburgh,787500, NET OF SALVAGE,1/3/2019 17:07, Rejected
1,3,7,92,54,"Cross, Burke and Bowen",East Allen, New vehicle without NCB,NOT KNOWN,Radiation protection practitioner,East Jennifer,Tapia-Strickland,72483823,Sarah Diaz,,New Alexanderland,262800, OWNER DRIVER:BODY INJURY,10/15/2018 16:52,Accepted
7,2,1,5,60,"Morse, Burnett and Gordon",Port Emilymouth, NCB Transfer,NOT KNOWN,Administrator,Steelefort,"Gardner, Carroll and Sanchez",45925391,Heather Olson,CASHLESS,West Katrinahaven,464996, OWNER DRIVER:BODY INJURY,3/2/2019 14:50,Accepted
4,1,3,35,42,Marshall Group,New Adam, Our own renewals,NOT KNOWN,Animal technologist,Port Brian,Nguyen-Peterson,78746851,Patrick Page,CASHLESS,West Jonathan,817734, OWNER DRIVER:BODY INJURY,12/31/2018 3:09,Accepted
7,1,5,91,79,Williams LLC,Richardsonside, Our own renewals,NOT KNOWN,Counsellor,North Karenton,White PLC,47350516,Daniel Smith,REIMBURSEMENT,Port James,633965, OWNER DRIVER:BODY INJURY,12/14/2018 2:18, Rejected
4,1,4,50,97,Li and Sons,Crossside, New vehicle without NCB,NOT KNOWN,Trade mark attorney,East Calebside,Mccoy-Hicks,8697151,Jennifer Fry,CASHLESS,New Daniel,486017, OWNER DRIVER:BODY INJURY,2/4/2019 8:29,Accepted
7,1,1,30,85,Stokes Ltd,Christinestad, NCB Transfer,NOT KNOWN,"Conservation officer, nature",Lindafort,"Clark, Dalton and Boyd",92434011,Molly Cowan,CASHLESS,South Lori,472060, OWNER DRIVER:DEATH,2/13/2019 23:59, Rejected
5,3,2,5,81,Brown-Smith,South Lanceshire, NCB Transfer,NOT KNOWN,Associate Professor,North Laura,Morrow-Klein,70838179,Cassandra Stone,CASHLESS,Gregorychester,492734, OWNER DRIVER:DEATH,12/11/2018 19:02,Accepted
6,1,7,58,79,Gilbert Ltd,Port Cody, New vehicle without NCB,NOT KNOWN,Sub,Brownville,"Guerrero, Li and Carter",39156858,Thomas Thompson,CASHLESS,Yvonnebury,711550, OWNER DRIVER:BODY INJURY,12/2/2018 14:23, Rejected
6,1,4,31,82,Lamb Ltd,West Glennburgh, New vehicle without NCB,NOT KNOWN,Education administrator,South Carolbury,"Brown, Nguyen and Garner",54840726,Stephanie Castro,CASHLESS,East Cathy,712975,PARTIAL LOSS,1/14/2019 7:05,Accepted
8,5,0,72,66,"Klein, Richardson and Thomas",New Jasonfurt, Our own renewals,NOT KNOWN,Financial trader,Deanfort,"Gill, Johnston and Dominguez",94475836,Nicholas Lee,,Jenniferstad,263421, OWNER DRIVER:DEATH,1/6/2019 18:45, Rejected
0,1,7,39,8,Bell and Sons,Port Kevinburgh, NCB Transfer,NOT KNOWN,Museum education officer,South Nicholas,"Fernandez, Wright and Martinez",61865060,Sheila Evans,,Lake Amandabury,754483, NET OF SALVAGE,12/4/2018 3:55, Rejected
2,8,1,9,94,Spencer PLC,New Amy, Our own renewals,NOT KNOWN,Exercise physiologist,Sheilaborough,Walters-Brown,8321838,Ryan Strickland,,Kristastad,170000, OWNER DRIVER:BODY INJURY,1/28/2019 3:24,Accepted
4,3,0,18,89,Jennings-Ballard,New Danielle, NCB Transfer,NOT KNOWN,Broadcast journalist,Ashleytown,Hester-Harris,69474960,Sheri Jones,,North Anthonyland,699930, OWNER DRIVER:DEATH,2/1/2019 2:40,Accepted
0,1,2,4,42,Patel-Rodriguez,South Markborough, Our own renewals,NOT KNOWN,Leisure centre manager,South Heatherland,Kennedy-Mccoy,42027582,Melinda Brown,CASHLESS,East Davidview,800000,PARTIAL LOSS,12/29/2018 0:41,Accepted
1,1,7,98,47,Benitez Inc,Pruittburgh,MTHF Renewal,NOT KNOWN,Site engineer,North Melissa,Mills Inc,74108465,Laura Edwards,CASHLESS,Johnsonside,935282, NET OF SALVAGE,12/12/2018 3:33,Accepted
7,7,5,58,64,"Green, Robbins and Anderson",North Mike,MTHF Renewal,NOT KNOWN,Higher education lecturer,South Cynthia,"Joseph, Webster and Lamb",98390741,William Miller,CASHLESS,West Georgefort,225887,PARTIAL LOSS,2/6/2019 6:05, Rejected
6,2,3,76,24,Allen PLC,Michaelton, NCB Transfer,NOT KNOWN,Community arts worker,Port Brendabury,Gardner-Proctor,79905290,Brenda Ward,CASHLESS,Martinberg,872000, OWNER DRIVER:BODY INJURY,3/23/2019 6:12, Rejected
2,1,6,73,64,White Ltd,Port Brittany, NCB Transfer,NOT KNOWN,Operational researcher,New Brookehaven,Harrison-Brown,61166078,Beverly Moore,CASHLESS,Hurstfurt,334552, NET OF SALVAGE,3/25/2019 19:26,Accepted
3,1,2,98,92,Buck-Harding,South Rita, New vehicle without NCB,NOT KNOWN,"Librarian, public",Stephensstad,Hurley-Walton,56051426,Lori Finley,CASHLESS,West Lindsayside,616018,PARTIAL LOSS,1/13/2019 20:48, Rejected
2,4,6,4,90,Sanders-Richardson,West Matthew, Our own renewals,NOT KNOWN,Insurance underwriter,New Kathy,"Bauer, Ramirez and Shepard",64766935,Phillip Frey,CASHLESS,East Jenniferton,226463, NET OF SALVAGE,12/4/2018 17:26, Rejected
2,5,6,63,55,Kim-Larsen,Jaclynside,MTHF Renewal,NOT KNOWN,Podiatrist,Lewisburgh,"Schmidt, Carr and Johnston",24762572,Gregory Marsh,REIMBURSEMENT,Angelville,174224, NET OF SALVAGE,11/25/2018 10:49,Accepted
9,7,8,17,54,Gomez LLC,Adammouth,MTHF Renewal,NOT KNOWN,Air traffic controller,New Melissaland,Costa Ltd,77983252,Sean Thompson,CASHLESS,Douglasville,158523, OWNER DRIVER:BODY INJURY,3/9/2019 16:38, Rejected
3,1,1,60,65,"Welch, Dougherty and Richardson",Ruiztown, Our own renewals,NOT KNOWN,Astronomer,South Lisa,"Lamb, Vaughn and Taylor",88807337,Jonathan Smith,CASHLESS,Zacharyhaven,708622, OWNER DRIVER:DEATH,12/23/2018 17:47,Accepted
4,1,5,88,29,Johnson-Vargas,Port Timothystad, New vehicle without NCB,NOT KNOWN,"Scientist, physiological",New Billshire,Garcia Group,6385811,Steve Wells,CASHLESS,Lake Erikaside,694806,PARTIAL LOSS,12/14/2018 19:39,Accepted
3,3,8,0,95,Gibson-Lucas,East Michelle, New vehicle without NCB,NOT KNOWN,"Engineer, manufacturing systems",Duncantown,Black PLC,74993193,John Graves,CASHLESS,East Francesfort,626336,PARTIAL LOSS,11/19/2018 23:47,Accepted
2,1,3,58,49,Singleton-Hughes,East Christopher,MTHF Renewal,NOT KNOWN,"Geologist, wellsite",Mcdonaldland,"Wilkins, Martinez and Vincent",63207069,Douglas Cruz,CASHLESS,Lake Denise,301651, OWNER DRIVER:BODY INJURY,3/19/2019 7:42,Accepted
0,1,0,97,8,Simmons LLC,Andersonmouth, Our own renewals,NOT KNOWN,Quality manager,Lake Robert,Jordan Group,47171321,Natasha Juarez,,New Phillipborough,301651, NET OF SALVAGE,11/15/2018 11:24,Accepted
0,3,3,52,98,Hodge LLC,East Theresa, NCB Transfer,NOT KNOWN,Investment analyst,Craigland,"Simmons, Richardson and Smith",73901647,Mikayla Craig,CASHLESS,South Donaldshire,222711, OWNER DRIVER:BODY INJURY,10/28/2018 5:42, Rejected
5,3,4,67,50,"Swanson, Pope and Castillo",Smithville, NCB Transfer,NOT KNOWN,"Engineer, biomedical",Lisastad,"Jackson, Horne and Hernandez",92170163,Jason Walker,CASHLESS,Lake Angela,259484, OWNER DRIVER:BODY INJURY,10/7/2018 15:02,Accepted
6,3,7,97,4,"Kelley, Martin and Robinson",Smallton, Our own renewals,NOT KNOWN,Theatre director,East Christianburgh,Sandoval-Norris,76873545,William Howard,,Susanbury,260934, OWNER DRIVER:BODY INJURY,11/14/2018 7:08, Rejected
4,2,2,4,24,Watts Inc,Sharpport,MTHF Renewal,NOT KNOWN,Dispensing optician,Lake Michael,"Martin, Boyd and Taylor",65982393,Brian Harper,CASHLESS,Andrewview,511680, OWNER DRIVER:BODY INJURY,1/15/2019 20:58,Accepted
9,1,7,46,82,Thomas Inc,Walkerland,MTHF Renewal,NOT KNOWN,"Engineer, civil (consulting)",Blaketown,"Coleman, Thomas and Brown",72401620,Yvonne Kirby,CASHLESS,Novakfort,594847, OWNER DRIVER:DEATH,2/15/2019 17:04,Accepted
2,1,6,29,11,"Levine, Garza and Rubio",East Jessicaport, Our own renewals,NOT KNOWN,"Buyer, industrial",Codychester,Carter Ltd,34444415,Patrick Mckinney,CASHLESS,Davidchester,316829,PARTIAL LOSS,11/3/2018 20:46,Accepted
9,,5,10,75,Martin-Lewis,Cummingsmouth, New vehicle without NCB,NOT KNOWN,Forest/woodland manager,Murphyborough,"Morris, Wright and Wilson",39555861,Julie Cabrera,CASHLESS,New Michael,, OWNER DRIVER:BODY INJURY,2/6/2019 3:59, Rejected
5,4,0,55,41,Fisher-Wright,Adamsville, NCB Transfer,NOT KNOWN,Geoscientist,Port Matthewtown,Rivas Group,64874403,Ryan Leonard,CASHLESS,Lake Joshuaside,174074, OWNER DRIVER:DEATH,1/18/2019 10:23,Accepted
