snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Naja kaouthia,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja philippinensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja samarensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja siamensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja sputatrix,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja sumatrana,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Walterinnesia aegyptia,Not present,Not present,Not present,Probably not present,Probably not present,Not present,Postsynaptic neurotoxins,,Not present,Not
Cerastes gasperettii,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Echis multisquamatus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis sochureki,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Eristocophis mcmahoni,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,,Possibly present,Not
Montivipera albicornuta,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Montivipera raddei,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Montivipera wagneri,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera berus,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Macrovipera lebetina,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,Not
Vipera renardi,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Gloydius blomhoffii,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,Not
Gloydius brevicaudus,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,Not
Gloydius halys,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Prothrombin convertors,Not
Gloydius himalayanus,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,Not
Gloydius saxatilis,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Mixture of procoagulants,Not
Gloydius shedaoensis,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Possibly present,Not
Gloydius ussuriensis,Probably not present,Probably not present,Zinc metalloproteinase,Possibly present,Possibly present,Probably not present,Possibly present,,Mixture of procoagulants,Not
Gloydius monticola,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,Not
Gloydius strauchi,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,Not
Hypnale hypnale,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,Not
Hypnale nepa,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,Not
Hypnale walli,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,Not
Ovophis chaseni,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Ovophis monticola,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Trimeresurus borneensis,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,Not
Trimeresurus brongersmai,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,Not
Trimeresurus cantori,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,Not
Protobothrops cornutus,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,Not
Trimeresurus erythrurus,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Probably present,Not
Trimeresurus fasciatus,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Probably present,Not
Trimeresurus flavomaculatus,,Probably not present,,Present but possibly not clinically significant,,Probably not present,Probably not present,,,Not
Trimeresurus gracilis,,,,,,,Probably not present,,,Not
Trimeresurus gramineus,Possibly present,Probably not present,Present but not defined,Present but possibly not clinically,Probably not present,Probably not present,Not present,,Mixture of procoagulants,Not
Trimeresurus hageni,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,Not
Tropidolaemus huttoni,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Probably present,Not
Protobothrops jerdonii,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,Not
Trimeresurus kanburiensis,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,Possibly present,Probably not present,,Probably present,Not
Protobothrops kaulbacki,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,Not
Trimeresurus labialis,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus macrolepis,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus macrops,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus malabaricus,,Probably not present,,,,,Probably not present,,,Not
Protobothrops mangshanensis,,,,,,,,,,Not
Trimeresurus medoensis,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus popeiorum,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus puniceus,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus purpureomaculatus,Possibly present,Probably not present,"Present, clinical significance uncertain",,,,Probably not present,,Probably present,Not
Trimeresurus schultzei,,Probably not present,,,,,Probably not present,,,Not
Trimeresurus strigatus,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,Not
Trimeresurus sumatranus,Present but not defined,Probably not present,"Present, clinical significance uncertain",Probably not present,,,Probably not present,,Possibly present,Not
Trimeresurus tibetanus,,Probably not present,,,,,Probably not present,,,Not
Ovophis tonkinensis,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Trimeresurus trigonocephalus,,Probably not present,,,,,Probably not present,,,Not
Protobothrops xiangchengensis,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,Not
Gloydius intermedius,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,Not
Trimeresurus septentrionalis,Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,Not
Trimeresurus insularis,Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,Not
Trimeresurus yunnanensis,,Probably not present,,,,,Probably not present,,,Not
Thelotornis kirtlandi,Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Mixture of procoagulants,Not
Atractaspis aterrima,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis battersbyi,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis boulengeri,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis coalescens,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis congica,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis corpulenta,Possibly present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis duerdeni,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis engaddensis,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Possibly present,Not present,Possibly present,Not present,Not present,Not present or not significant,Possibly present,Not
Atractaspis engdahli,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis fallax,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis irregularis,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis leucomelas,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis micropholis,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis reticulata,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Atractaspis scorteccii,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,Not
Macrelaps microlepidotus,"Unknown, but probably not present",,"Unknown, but probably not present","Unknown, but probably not present",,"Unknown, but probably not present","Unknown, but probably not present",,"Unknown, but probably not present",Not
Aspidelaps lubricus,,,,,,,,,,Not
Aspidelaps scutatus,,,,,,,,,,Not
Naja annulata,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Naja christyi,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,Not
Dendroaspis jamesoni,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,Not
Dendroaspis polylepis,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,Not
Dendroaspis viridis,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,Not
Elapsoidea chelazziorum,,,,,,,,,,Not
Elapsoidea guentherii,,,,,,,,,,Not
Elapsoidea laticincta,,,,,,,,,,Not
Elapsoidea loveridgei,,,,,,,,,,Not
Elapsoidea nigra,,,,,,,,,,Not
Elapsoidea semiannulata,,,,,,,,,,Not
Elapsoidea sundevallii,,,,,,,,,,Not
Homoroselaps lacteus,,,,,,,,,,Not
Naja katiensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja melanoleuca,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja mossambica,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja multifasciata,,,,,,,,,,Not
Pseudohaje goldii,,,,,,,,,,Not
Adenorhinos barbouri,,,,,,,,,,Not
Atheris ceratophora,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris chloroechis,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris desaixi,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Montatheris hindii,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris hispida,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris katangensis,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris nitschei,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Atheris squamigera,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Proatheris superciliaris,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,Not
Bitis atropos,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present,,Possibly present but not clinically significant,Not
Bitis caudalis,,,,Systemic myotoxins present,,,Presynaptic neurotoxins,,,Not
Bitis cornuta,,,,,,,,,,Not
Bitis heraldica,,,,,,,,,,Not
Bitis inornata,,,,,,,,,,Not
Bitis nasicornis,,,Probably present,,,,,,,Not
Bitis parviocula,,,,,,,,,,Not
Bitis peringueyi,,,,,,,,,,Not
Bitis schneideri,,,,,,,,,,Not
Bitis worthingtoni,,,,,,,,,,Not
Bitis xeropaga,,,,,,,,,,Not
Causus defilippii,,,,,,,,,,Not
Causus lichtensteini,,,,,,,,,,Not
Causus maculatus,,,,,,,,,,Not
Causus resimus,,,,,,,,,,Not
Cerastes vipera,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,Not
Echis coloratus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis leucogaster,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis ocellatus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis pyramidum,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Montivipera bornmuelleri,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera latastei,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Elapsoidea boulengeri,,,,,,,,,,Not
Naja anchietae,Probably not present,,Probably not present,Probably not present,,Probably not present,,Not present or not significant,Probably not present,Not
Naja annulifera,Probably not present,,Probably not present,Probably not present,,Probably not present,,Not present or not significant,Probably not present,Not
Naja arabica,Probably not present,Possibly present,Probably not present,Possibly present but not clinically significant,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Naja nigricincta,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,Not
Bitis albanica,,,,,,,,,,Not
Bitis rhinoceros,Possibly present (based on research on related species),Present but not defined (based on research on related species),Zinc metalloproteinase (based on research on related species),Not present (based on research on related species),Possibly present (based on research on related species),Not present (based on research on related species),Not present (based on research on related species),,Fibrinogenases (based on research on related species),Not
Echis hughesi,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis jogeri,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis khosatskii,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Echis megalocephalus,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,Not
Vipera aspis,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera ammodytes,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Presynaptic neurotoxins,,Probably present,Not
Montivipera albizona,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera barani,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Montivipera bulgardaghica,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera darevskii,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera dinniki,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera eriwanensis,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera kaznakovi,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera lotievi,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera monticola,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Macrovipera mauritanica,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,Not
Macrovipera schweizeri,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,Not
Vipera pontica,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Gloydius tsushimaensis,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,Not
Vipera ursinii,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Vipera seoanei,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,Not
Causus bilineatus,,,,,,,,,,Not
Macrovipera deserti,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,Not
Bitis rubida,,,,,,,,,,Not
Bungarus andamanensis,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Elapsoidea broadleyi,,,,,,,,,,Not
Trimeresurus karanshahi,,Probably not present,,,,,Probably not present,,,Not
Micruroides euryxanthus,Probably not present,Probably not present,Probably not present,Systemic myotoxins probably present,Probably not present,Probably not present,Postsynaptic neurotoxins probably present,,Probably not present,Not
Micrurus ancoralis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus annellatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus averyi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus bernadi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus bocourti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus bogerti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus browni,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus clarki,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Leptomicrurus collaris,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus decoratus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus diastema,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus dissoleucus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus distans,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus elegans,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus filiformis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus frontifasciatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus hemprichii,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus hippocrepis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus ibiboboca,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Leptomicrurus scutiventris,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus langsdorffi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus laticollaris,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus latifasciatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus limbatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus margaritiferus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus multiscutatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Leptomicrurus narduccii,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus peruvianus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus petersi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus proximans,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus psyches,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus putumayensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus ruatanus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus sangilensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus spurrelli,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus steindachneri,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus stewarti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus stuarti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
Micrurus tschudii,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,Not
