,snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
40,Naja oxiana,"Iran : 87 \xc2\xb1 25 mg ( n=6091 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
41,Naja philippinensis,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
42,Naja samarensis,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
43,Naja siamensis,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
44,Naja sputatrix,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
45,Naja sumatrana,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
46,Ophiophagus hannah,"421 mg ( dry weight  of milked venom ), Broad et al (1979). ( Ref : R000006 ).",Probably not present,Primary cardiotoxin,Probably not present,Probably not present,Possibly present,Probably not present,Postsynaptic neurotoxins,,Probably not present,"1.80 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",1
47,Walterinnesia aegyptia,,Not present,Not present,Not present,Probably not present,Probably not present,Not present,Postsynaptic neurotoxins,,Not present,,Not
48,Azemiops feae,"Up to 1.75 mg / snake ( wet weight ), Vest (1986) ( Ref : R000517 ).",,,,,,,Possibly present,,,,1
49,Cerastes gasperettii,,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
50,Daboia russelii,"130 to 250 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present (Sri Lanka),Possibly present,Possibly present,Presynaptic neurotoxins,,Mixture of procoagulants,,1
51,Daboia siamensis,"Adults : 127 \xc2\xb1 13 mg ( n= 25, average length 1.11 metres, milked dry weight ). Pe and Cho (1986) ( Ref : R000556 ).",Possibly present,Probably not present,Zinc metalloproteinase,Probably not present,Possibly present,Possibly present,Probably not present,,Mixture of procoagulants,,1
52,Echis carinatus,"20 to 35 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,1
53,Echis multisquamatus,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
54,Echis sochureki,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
55,Eristocophis mcmahoni,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,,Possibly present,,Not
56,Pseudocerastes persicus,"Iran : 44 \xc2\xb1 4 mg ( n=5932 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Presynaptic neurotoxins,,Probably not present,,1
57,Montivipera albicornuta,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
58,Montivipera latifii,"Iran : 6 \xc2\xb1 2 mg ( n=8741 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
59,Montivipera raddei,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
60,Montivipera wagneri,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
61,Montivipera xanthina,"Iran : 10 \xc2\xb1 2 mg ( n=4446 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,1
62,Vipera berus,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
63,Macrovipera lebetina,,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,,Not
64,Vipera renardi,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
65,Gloydius blomhoffii,,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,,Not
66,Gloydius brevicaudus,,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,,Not
67,Gloydius halys,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Prothrombin convertors,,Not
68,Gloydius himalayanus,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,Not
69,Gloydius saxatilis,,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Mixture of procoagulants,,Not
70,Gloydius shedaoensis,,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Possibly present,,Not
71,Gloydius ussuriensis,,Probably not present,Probably not present,Zinc metalloproteinase,Possibly present,Possibly present,Probably not present,Possibly present,,Mixture of procoagulants,,Not
72,Gloydius monticola,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,Not
73,Gloydius strauchi,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,Not
74,Calloselasma rhodostoma,"40 to 60 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Present but not defined,Not present,Secondary necrotoxic activity only,Not present,Not present,Not present or not significant,Fibrinogenases,,1
75,Deinagkistrodon acutus,"214 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Possibly present,Probably not present,Probably present,Not present,Present but not defined,Probably not present,Not present,,Mixture of procoagulants,,1
76,Hypnale hypnale,,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,,Not
77,Hypnale nepa,,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,,Not
78,Hypnale walli,,Possibly present,Probably not present,Probably present,Probably not present,Probably not present,Possibly present,Probably not present,,Probably present,,Not
79,Ovophis chaseni,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
80,Ovophis monticola,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
81,Ovophis okinavensis,"22.2 mg ( dry weight ), Sawai (1975) ( Ref : R000768 ).",Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
82,Trimeresurus albolabris,"8 to 15 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,,1
83,Trimeresurus borneensis,,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,,Not
84,Trimeresurus brongersmai,,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,,Not
85,Trimeresurus cantori,,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,,Not
86,Protobothrops cornutus,,Probably not present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Possibly present,,Not
87,Protobothrops elegans,"124 mg ( dry weight ), Sawai (1975) ( Ref : R000768 ).",Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
88,Trimeresurus erythrurus,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Probably present,,Not
89,Trimeresurus fasciatus,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,,Probably present,,Not
90,Trimeresurus flavomaculatus,,,Probably not present,,Present but possibly not clinically significant,,Probably not present,Probably not present,,,,Not
91,Protobothrops flavoviridis,"100 to 300 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Not present,Not present,Present but possibly not clinically significant,Not present,Not present,Probably not present,,Not present,,1
92,Trimeresurus gracilis,,,,,,,,Probably not present,,,,Not
93,Trimeresurus gramineus,,Possibly present,Probably not present,Present but not defined,Present but possibly not clinically,Probably not present,Probably not present,Not present,,Mixture of procoagulants,,Not
94,Trimeresurus hageni,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Possibly present,,Not
95,Tropidolaemus huttoni,,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Probably present,,Not
96,Protobothrops jerdonii,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,Not
97,Trimeresurus kanburiensis,,Possibly present,Probably not present,Probably present,Probably not present,Possibly present,Possibly present,Probably not present,,Probably present,,Not
98,Protobothrops kaulbacki,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,Not
99,Trimeresurus labialis,,,Probably not present,,,,,Probably not present,,,,Not
100,Trimeresurus macrolepis,,,Probably not present,,,,,Probably not present,,,,Not
101,Trimeresurus macrops,,,Probably not present,,,,,Probably not present,,,,Not
102,Trimeresurus malabaricus,,,Probably not present,,,,,Probably not present,,,,Not
103,Protobothrops mangshanensis,,,,,,,,,,,,Not
104,Trimeresurus medoensis,,,Probably not present,,,,,Probably not present,,,,Not
105,Protobothrops mucrosquamatus,"140 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Possibly present,Probably not present,Zinc metalloproteinase,Probably not present,Possibly present,,Probably not present,Oedema inducing toxins,Fibrinogenases,,1
106,Trimeresurus popeiorum,,,Probably not present,,,,,Probably not present,,,,Not
107,Trimeresurus puniceus,,,Probably not present,,,,,Probably not present,,,,Not
108,Trimeresurus purpureomaculatus,,Possibly present,Probably not present,"Present, clinical significance uncertain",,,,Probably not present,,Probably present,,Not
109,Trimeresurus schultzei,,,Probably not present,,,,,Probably not present,,,,Not
110,Trimeresurus stejnegeri,"7.8 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Possibly present,Probably not present,Possibly present,Probably not present,,,Probably not present,,Fibrinogenases,,1
111,Trimeresurus strigatus,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,Not
112,Trimeresurus sumatranus,,Present but not defined,Probably not present,"Present, clinical significance uncertain",Probably not present,,,Probably not present,,Possibly present,,Not
113,Trimeresurus tibetanus,,,Probably not present,,,,,Probably not present,,,,Not
114,Protobothrops tokarensis,"32.9 mg  ( dry weight ), Sawai (1975) ( Ref : R000768 ).",,Probably not present,,,,,Probably not present,,,,1
115,Ovophis tonkinensis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
116,Trimeresurus trigonocephalus,,,Probably not present,,,,,Probably not present,,,,Not
117,Protobothrops xiangchengensis,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,Not
118,Tropidolaemus wagleri,"65 to 90 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Possibly present,Probably not present,Probably present,Probably not present,Possibly present,,Probably not present,,Mixture of procoagulants,,1
119,Gloydius intermedius,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,Not
120,Trimeresurus septentrionalis,,Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,,Not
121,Trimeresurus insularis,,Probably not present,Not present,Possibly present,Not present,Probably not present,Probably not present,Not present,Not present or not significant,Fibrinogenases,,Not
122,Trimeresurus yunnanensis,,,Probably not present,,,,,Probably not present,,,,Not
123,Dispholidus typus,"15.2 mg ( dry weight ), Grasset and Schaafsma (1940) ( Ref : R000611 ).",Possibly present,Not present,Probably present,Not present,Not present,Not present,Not present,Not present or not significant,Mixture of procoagulants,,1
124,Thelotornis capensis,"2.25 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Present but not defined,,1
125,Thelotornis kirtlandi,,Possibly present,Not present,Possibly present,Not present,Not present,Secondary nephrotoxicity only,Not present,Not present or not significant,Mixture of procoagulants,,Not
126,Amplorhinus multimaculatus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
127,Toxicodryas blandingii,"1.6 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,1
128,Crotaphopeltis hotamboeia,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
129,Madagascarophis meridionalis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
130,Psammophis biseriatus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
131,Psammophis phillipsii,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
132,Psammophis sibilians,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
133,Psammophylax rhombeatus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
134,Psammophylax tritaeniatus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
135,Telescopus semiannulatus,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
136,Atractaspis aterrima,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
137,Atractaspis battersbyi,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
138,Atractaspis bibronii,"0.5 mg, Kochva et al (1982) ( Ref : R000657 ).",Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,1
139,Atractaspis boulengeri,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
140,Atractaspis coalescens,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
141,Atractaspis congica,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
142,Atractaspis corpulenta,,Possibly present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
143,Atractaspis dahomeyensis,"1.3 to 7.6 ( wet venom, 23 to 26 % solid ), Spawls and Branch (1995) ( Ref : R000704 ).",Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,1
144,Atractaspis duerdeni,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
145,Atractaspis engaddensis,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Possibly present,Not present,Possibly present,Not present,Not present,Not present or not significant,Possibly present,,Not
146,Atractaspis engdahli,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
147,Atractaspis fallax,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
148,Atractaspis irregularis,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
149,Atractaspis leucomelas,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,Not present,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
150,Atractaspis microlepidota,"5 to 10 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,,1
151,Atractaspis micropholis,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
152,Atractaspis reticulata,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
153,Atractaspis scorteccii,,Not present,Indirect cardiotoxin (endothelin-like activity of sarafotoxins),Not present,,Possibly present,Not present,Not present,Not present or not significant,Not present,,Not
154,Macrelaps microlepidotus,,"Unknown, but probably not present",,"Unknown, but probably not present","Unknown, but probably not present",,"Unknown, but probably not present","Unknown, but probably not present",,"Unknown, but probably not present",,Not
155,Aspidelaps lubricus,,,,,,,,,,,,Not
156,Aspidelaps scutatus,,,,,,,,,,,,Not
157,Naja annulata,,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
158,Naja christyi,,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
159,Dendroaspis angusticeps,"60 to 95 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,1
160,Dendroaspis jamesoni,,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,Not
161,Dendroaspis polylepis,,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,Not
162,Dendroaspis viridis,,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,Not
163,Elapsoidea chelazziorum,,,,,,,,,,,,Not
164,Elapsoidea guentherii,,,,,,,,,,,,Not
165,Elapsoidea laticincta,,,,,,,,,,,,Not
166,Elapsoidea loveridgei,,,,,,,,,,,,Not
167,Elapsoidea nigra,,,,,,,,,,,,Not
168,Elapsoidea semiannulata,,,,,,,,,,,,Not
169,Elapsoidea sundevallii,,,,,,,,,,,,Not
170,Hemachatus haemachatus,"80 to 120 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Present but not defined,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Probably not present,,1
171,Homoroselaps lacteus,,,,,,,,,,,,Not
172,Naja haje,"175 to 300 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Possibly present,Probably not present,Possibly present but not clinically significant,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
173,Naja katiensis,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
174,Naja melanoleuca,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
175,Naja mossambica,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
176,Naja nigricollis,"200 to 350 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
177,Naja nivea,"100 to 150 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
178,Naja pallida,"170 to 260 mg ( dry weight, no external pressure on venom gland ), Cascardi et al (1999) ( Ref : R000883 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
179,Naja multifasciata,,,,,,,,,,,,Not
180,Pseudohaje goldii,,,,,,,,,,,,Not
181,Adenorhinos barbouri,,,,,,,,,,,,Not
