snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Bitis xeropaga,,,,,,,,,,1
Causus defilippii,,,,,,,,,,1
Causus lichtensteini,,,,,,,,,,1
Causus maculatus,,,,,,,,,,1
Causus resimus,,,,,,,,,,1
Elapsoidea boulengeri,,,,,,,,,,1
Naja anchietae,Probably not present,,Probably not present,Probably not present,,Probably not present,,Not present or not significant,Probably not present,1
Naja annulifera,Probably not present,,Probably not present,Probably not present,,Probably not present,,Not present or not significant,Probably not present,1
Naja arabica,Probably not present,Possibly present,Probably not present,Possibly present but not clinically significant,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja nigricincta,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Bitis albanica,,,,,,,,,,1
Vipera ammodytes,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Presynaptic neurotoxins,,Probably present,1
Gloydius tsushimaensis,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,1
Causus bilineatus,,,,,,,,,,1
Bitis rubida,,,,,,,,,,1
Bungarus andamanensis,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Elapsoidea broadleyi,,,,,,,,,,1
Micruroides euryxanthus,Probably not present,Probably not present,Probably not present,Systemic myotoxins probably present,Probably not present,Probably not present,Postsynaptic neurotoxins probably present,,Probably not present,1
Micrurus ancoralis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus annellatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus averyi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus bernadi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus bocourti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus bogerti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus browni,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus clarki,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Leptomicrurus collaris,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus decoratus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus diastema,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus dissoleucus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus distans,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus elegans,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus filiformis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus frontifasciatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus hemprichii,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus hippocrepis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus ibiboboca,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Leptomicrurus scutiventris,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus langsdorffi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus laticollaris,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus latifasciatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus limbatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus margaritiferus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus multiscutatus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Leptomicrurus narduccii,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus peruvianus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus petersi,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus proximans,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus psyches,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus putumayensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus ruatanus,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus sangilensis,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus spurrelli,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus steindachneri,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus stewarti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus stuarti,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus tschudii,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus ephippifer,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Sistrurus catenatus,,,Present but not defined,,,,,,Present but not defined,1
Micrurus circinalis ( = psyches circinalis ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus medemi ( = psyches medemi ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus paraensis ( = psyches paraensis ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus remotus ( = psyches remotus ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus diana,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Micrurus meridensis ( = dissoleucus meridensis ),Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Crotalus cerastes,,,,,,,,,,1
Crotalus totonacus,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Other,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Presynaptic neurotoxins,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),1
Crotalus culminatus,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Not present,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Secondary myotoxicity present,Not present,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Other,1
Crotalus tzabcan,No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),No data but likely to be similar to related species (C.d.durissus or C.d.terrificus),1
Crotalus simus,Not present,Not present,Possibly present,Secondary myotoxic activity may be present,Not present,Not present,Presynaptic neurotoxins,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Present but not defined,1
Crotalus horridus,Not present,Not present,Zinc metalloproteinase,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,,May include; Lectins; Nerve growth factors; Phospholipase inhibitors; Proteinase inhibitors; Complement inactivators; Biogenic amines; Carbohydrates; Lipids; Nucleosides & nucleotides,Mixture of procoagulants,1
Crotalus intermedius,,,,,,,,,,1
Crotalus lannomi,,,,,,,,,,1
Crotalus lepidus,,,,,,,,,,1
Crotalus mitchellii,,,,,,,,,,1
Crotalus stephensi,,,,,,,,,,1
Crotalus molossus,,,,,,,,,,1
Crotalus pricei,,,,,,,,,,1
Crotalus polystictus,,,,,,,,,,1
Crotalus ruber,,,,,,,,,,1
Crotalus stejnegeri,,,,,,,,,,1
Crotalus transversus,,,,,,,,,,1
Crotalus triseriatus,,,,,,,,,,1
Crotalus aquilus,,,,,,,,,,1
Crotalus cerberus,Probably not present,Probably not present,Zinc metalloproteinase,Systemic myotoxins present,Possibly present,Probably not present,,Other,Mixture of procoagulants,1
Crotalus willardi,,,Present but not defined,,,,,,,1
Acanthophis pyrrhus,Possibly present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Austrelaps ramsayi,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present or not significant,Not present,1
Austrelaps labialis,Possibly present but not clinically significant,Not present,Not present,Possibly present but not clinically significant,Not present,Not present,Possibly present,Not present or not significant,Not present,1
Demansia olivacea,,,,,,,,,,1
Demansia papuensis,,,,,,,,,,1
Demansia psammophis,,,,,,,,,,1
Demansia simplex,,,,,,,,,,1
Demansia torquata,,,,,,,,,,1
Demansia vestigiata,,,,,,,,,,1
Denisonia devisi,Probably not present,,,,,,Present but not defined,,Probably not present,1
Denisonia maculata,Probably not present,,,,,,Present but not defined,,Probably not present,1
Elapognathus coronata,,,,,,,,,,1
Drysdalia mastersii,,,,,,,,,,1
Drysdalia rhodogaster,,,,,,,,,,1
Drysdalia coronoides,,,,,,,,,,1
Paroplocephalus atriceps,Possibly present,,,,,,Possibly present,,Probably not present,1
Echiopsis curta,Possibly present,,,,,,Possibly present,,Probably not present,1
Oxyuranus scutellatus,Not present,Not present,Possibly present,Systemic myotoxins present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,1
Pseudonaja affinis,Not present,Not present,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,1
Pseudonaja ingrami,Not present,,Not present,Not present,Not present,Possibly present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Prothrombin convertors,1
Suta suta,,,,,,,,,,1
Micropechis ikaheka,Mixture of anticoagulant activities,Probably not present,Possibly present,Possibly present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,1
Aipysurus apraefrontalis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Aipysurus fuscus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Aipysurus tenuis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis kingii,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis nigrocinctus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Emydocephalus ijimae,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Ephalophis greyae ( = greyi ),Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Parahydrophis mertoni,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrelaps darwiniensis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis belcheri,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis bituberculatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis caerulescens,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis cantoris,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis fasciatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis gracilis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis inornatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis lapemoides,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis mamillaris,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis melanosoma,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis obscurus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis parviceps,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis semperi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis stricticollis,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis torquatus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Kolpophis annandalei,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis viperina,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Thalassophis anomalus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Laticauda crockeri,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Laticauda laticaudata,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Laticauda schistorhynchus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis atriceps,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis czeblukovi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis macdowelli,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis pacificus,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Hydrophis vorisi,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Homoroselaps dorsalis,,,,,,,,,,1
Pseudohaje nigra,,,,,,,,,,1
Toxicocalamus buergersi,,,,,,,,,,1
Toxicocalamus holopelturus,,,,,,,,,,1
Toxicocalamus longissimus,,,,,,,,,,1
Toxicocalamus loriae,,,,,,,,,,1
Toxicocalamus misimae,,,,,,,,,,1
Toxicocalamus preussi,,,,,,,,,,1
Toxicocalamus spilolepidotus,,,,,,,,,,1
Toxicocalamus stanleyanus,,,,,,,,,,1
Toxicocalamus grandis,,,,,,,,,,1
Aspidomorphus lineaticollis,,,,,,,,,,1
Aspidomorphus muelleri,,,,,,,,,,1
Aspidomorphus schlegeli,,,,,,,,,,1
Parapistocalamus hedigeri,,,,,,,,,,1
Loveridgelaps elapoides,,,,,,,,,,1
Cacophis harriettae,,,,,,,,,,1
Cacophis krefftii,,,,,,,,,,1
Cacophis squamulosus,,,,,,,,,,1
Elapognathus minor,,,,,,,,,,1
Furina barnardi,,,,,,,Possibly present,,Possibly present,1
Furina diadema,,,,,,,Possibly present,,Possibly present,1
Furina dunmalli,,,,,,,Possibly present,,Possibly present,1
Furina ornata,,,,,,,Possibly present,,Possibly present,1
